'id';'nama_unit';'alamat';'provinsi_id';'kota_id';'kecamatan_id';'kelurahan_id';'latitude';'longitude';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by'
1;Paguyuban Ternak;Jl TB Simatupang no.15 A;'27530';'27696';'27720';'27721';;;2022-11-02 06:11:25.000;;;1;;
4;Paguyuban Intan;Jawa Timur;'44156';'47701';'47810';'47811';;;2023-02-01 04:29:10.000;2023-02-01 04:29:10.000;;;;
5;Paguyuban Alusyanti;Jawa Timur;'44156';'44842';'44843';'44851';;;2023-02-01 04:29:47.000;2023-02-01 04:29:47.000;;;;
7;Ferdiansyah;Senduro Lumajang;'44156';'46199';'46315';'46319';;;2023-02-19 14:08:40.000;2023-02-19 14:08:40.000;;;;
8;Ghifa Farm;Senduro Lumajang;'44156';'46199';'46315';'46319';;;2023-02-19 14:23:31.000;2023-02-19 14:23:31.000;;;;
9;Afik Farm;Senduro Lumajang;'44156';'46199';'46315';'46319';;;2023-02-19 14:25:39.000;2023-02-19 14:25:39.000;;;;
10;Zahran Farm;Senduro Lumajang;'44156';'46199';'46315';'46319';;;2023-02-19 14:29:16.000;2023-02-19 14:29:16.000;;;;
11;Wily Farm;Probolinggo;'44156';'47346';'47415';'47417';;;2023-02-19 14:30:25.000;2023-02-19 14:30:25.000;;;;
12;Zahran Farming;Maron Probolinggo;'44156';'47346';'47588';'47590';;;2023-02-19 14:32:28.000;2023-02-19 14:32:28.000;;;;
13;Laili Farm;Banyuanyar Probolinggo;'44156';'47346';'47400';'47403';;;2023-02-19 14:33:28.000;2023-02-19 14:33:28.000;;;;
14;Retno Farm;Gading Probolinggo;'44156';'47346';'47447';'47465';;;2023-02-19 14:34:57.000;2023-02-19 14:34:57.000;;;;
15;Rizky Agung Farm;Banyuanyar Probolinggo;'44156';'47346';'47400';'47403';;;2023-02-19 14:36:44.000;2023-02-19 14:36:44.000;;;;
2;Intan Farm;Senduro;'44156';'46199';'46315';'46319';;;2023-05-28 10:28:37.000;2023-05-28 10:28:37.000;;;;
17;Kampong Embik;-;'44156';'47346';'47347';'47359';;;2023-06-12 04:54:33.000;2023-06-12 04:54:33.000;;;;
18;NYX Farm;-;'44156';'47346';'47415';'47427';;;2023-06-12 04:56:44.000;2023-06-12 04:56:44.000;;;;
19;Barkah Ratu Farm;-;'44156';'47346';'47400';'47407';;;2023-06-12 04:58:21.000;2023-06-12 04:58:21.000;;;;
20;Yes Farm;-;'44156';'47346';'47538';'47547';;;2023-06-12 05:01:08.000;2023-06-12 05:01:08.000;;;;
21;Fauzi Farm;-;'44156';'47346';'47557';'47561';;;2023-06-12 05:05:15.000;2023-06-12 05:05:15.000;;;;
22;MWR Farm;-;'44156';'47346';'47557';'47561';;;2023-06-12 05:08:26.000;2023-06-12 05:08:26.000;;;;
23;PROF Farm;-;'44156';'47346';'47400';'47404';;;2023-06-12 05:11:16.000;2023-06-12 05:11:16.000;;;;
24;Roza Farm;-;'44156';'47346';'47588';'47589';;;2023-06-12 05:16:45.000;2023-06-12 05:16:45.000;;;;
25;Barokah Jaya Farm;-;'44156';'47346';'47557';'47564';;;2023-06-12 05:26:13.000;2023-06-12 05:26:13.000;;;;
26;Sapto Sukses Farm;-;'44156';'47346';'47538';'47539';;;2023-06-12 05:29:37.000;2023-06-12 05:29:37.000;;;;
27;Lancar Jaya;-;'44156';'47346';'47447';'47453';;;2023-06-12 05:31:17.000;2023-06-12 05:31:17.000;;;;
28;Hayat Berkah Jaya;-;'44156';'47346';'47499';'47500';;;2023-06-12 05:32:47.000;2023-06-12 05:32:47.000;;;;
29;Zaini Farm;-;'44156';'47346';'47538';'47547';;;2023-06-12 05:37:02.000;2023-06-12 05:37:02.000;;;;
30;Rikman Puskeswan;Senduro;'44156';'46199';'46315';'46319';;;2023-06-14 04:20:17.000;2023-06-14 04:20:17.000;;;;
31;Edwin DKPP Lumajang;-;'44156';'46199';'46359';'46362';;;2023-06-14 04:22:24.000;2023-06-14 04:22:24.000;;;;
32;Mantri Balap Farm;-;'44156';'46199';'46315';'46320';;;2023-06-14 04:23:42.000;2023-06-14 04:23:42.000;;;;
33;Eko Farm;-;'44156';'46199';'46315';'46322';;;2023-06-14 04:26:10.000;2023-06-14 04:26:10.000;;;;
34;EL Farm;-;'44156';'46199';'46315';'46322';;;2023-06-14 04:28:20.000;2023-06-14 04:28:20.000;;;;
36;Tumpi Balap Farm;-;'44156';'46199';'46315';'46321';;;2023-06-14 04:33:32.000;2023-06-14 04:33:32.000;;;;
37;Susu Wedos Farm;-;'44156';'46199';'46315';'46321';;;2023-06-14 04:36:52.000;2023-06-14 04:36:52.000;;;;
38;Jiwo Etawa;-;'44156';'46199';'46307';'46309';;;2023-06-14 04:40:59.000;2023-06-14 04:40:59.000;;;;
39;Sumber Mas Telutur;-;'44156';'46199';'46315';'46322';;;2023-06-14 04:44:30.000;2023-06-14 04:44:30.000;;;;
40;Sumber Mas Jambekumbu;-;'44156';'46199';'46307';'46309';;;2023-06-14 04:46:09.000;2023-06-14 04:46:09.000;;;;
3;Goatzilla Farm Demo;Graud zamzam rowobuyiel labuk lor lungiang;'44156';'46199';'46315';'46321';;;2022-11-18 07:19:27.000;2022-11-18 07:19:27.000;;;;
35;Sumber Mas Kandangtepus;-;'44156';'46199';'46315';'46322';;;2023-06-14 04:30:59.000;2023-06-14 04:30:59.000;;;;
41;Goatzilla Farm;-;'44156';'46199';'46315';'46321';;;2023-06-14 04:48:13.000;2023-06-14 04:48:13.000;;;;
42;Amir Farm;Senduro;'44156';'46199';'46315';'46319';;;2023-07-07 03:03:26.000;2023-07-07 03:03:26.000;;;;
6;Perkumpulan Unindras;Jalan TB Simatupang no 58 C;'27530';'27696';'27759';'27760';;;2023-02-07 06:31:06.000;2024-01-17 11:28:05.000;;;;
